filter,scaler,f1_mean,f1_std,n_folds
no_filter,robust,0.7,0.10000000000000003,2
no_filter,standard,0.7,0.10000000000000003,2
no_filter,minmax,0.7,0.10000000000000003,2
no_filter,none,0.7,0.10000000000000003,2
bandpass_0.5_20,robust,0.7636363636363637,0.036363636363636376,2
bandpass_0.5_20,standard,0.7636363636363637,0.036363636363636376,2
bandpass_0.5_20,minmax,0.7636363636363637,0.036363636363636376,2
bandpass_0.5_20,none,0.7636363636363637,0.036363636363636376,2
bandpass_0.5_10,robust,0.7,0.10000000000000003,2
bandpass_0.5_10,standard,0.7,0.10000000000000003,2
bandpass_0.5_10,minmax,0.7,0.10000000000000003,2
bandpass_0.5_10,none,0.7,0.10000000000000003,2
bandpass_1_8,robust,0.7,0.10000000000000003,2
bandpass_1_8,standard,0.7,0.10000000000000003,2
bandpass_1_8,minmax,0.7,0.10000000000000003,2
bandpass_1_8,none,0.7,0.10000000000000003,2
highpass_0.5,robust,0.7636363636363637,0.036363636363636376,2
highpass_0.5,standard,0.7636363636363637,0.036363636363636376,2
highpass_0.5,minmax,0.7636363636363637,0.036363636363636376,2
highpass_0.5,none,0.7636363636363637,0.036363636363636376,2
lowpass_20,robust,0.7,0.10000000000000003,2
lowpass_20,standard,0.7,0.10000000000000003,2
lowpass_20,minmax,0.7,0.10000000000000003,2
lowpass_20,none,0.7,0.10000000000000003,2
