param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features,mean_test_score,std_test_score
50,4,2,1,0.3,0.8008454356074022,0.01709018142059729
100,4,2,1,0.3,0.8006061452503989,0.02477901927250838
50,4,10,1,log2,0.7998926753342224,0.03095121021005223
50,4,10,1,sqrt,0.7998926753342224,0.03095121021005223
50,4,8,2,sqrt,0.7997766877034126,0.025860904232696807
50,4,8,2,log2,0.7997766877034126,0.025860904232696807
50,8,10,2,sqrt,0.7996095307565163,0.027015197011214947
50,8,10,2,log2,0.7996095307565163,0.027015197011214947
50,4,5,2,log2,0.7994131693953618,0.024366505898674565
50,4,5,2,sqrt,0.7994131693953618,0.024366505898674565
