window,window_size,preprocessing,model,n_windows,f1_mean,f1_std,auc_mean,auc_std,time
8s,400,filtered,LSTM,251,1.0,0.0,1.0,0.0,0.5395894050598145
6s,300,filtered,LSTM,365,1.0,0.0,1.0,0.0,0.5986714363098145
1s,50,filtered,LSTM,2823,0.8788610038610039,0.013996138996138996,0.9017361111111111,0.02048611111111115,5.840672731399536
8s,400,raw,LSTM,251,0.8,0.0,0.0,0.0,0.5063111782073975
8s,400,augmented,SimpleCNN,251,0.8,0.0,0.0,0.0,0.2994503974914551
8s,400,augmented,LSTM,251,0.8,0.0,0.5,0.0,0.476163387298584
6s,300,augmented,LSTM,365,0.75,0.0,0.6666666666666666,0.0,0.5639691352844238
1s,50,filtered,DeepCNN,2823,0.7457994579945799,0.034688346883468835,0.6407407407407408,0.09074074074074073,5.543468475341797
4s,200,filtered,SimpleCNN,615,0.6666666666666666,0.0,0.4791666666666667,0.4791666666666667,1.1742939949035645
1s,50,raw,DeepCNN,2823,0.6659003831417625,0.04521072796934866,0.7484953703703704,0.04224537037037035,5.346155405044556
2s,100,normalized,DeepCNN,1337,0.6647509578544062,0.11302681992337166,0.4244505494505495,0.03983516483516478,2.7070534229278564
2s,100,augmented,LSTM,1337,0.6166666666666667,0.11666666666666664,0.5375457875457876,0.18040293040293048,2.789670705795288
6s,300,raw,SimpleCNN,365,0.5714285714285714,0.0,0.0,0.0,0.3079071044921875
6s,300,raw,LSTM,365,0.5714285714285714,0.0,0.5,0.0,0.5761110782623291
2s,100,filtered,DeepCNN,1337,0.5318181818181817,0.16818181818181815,0.5697496947496947,0.10546398046398048,2.5870046615600586
2s,100,raw,DeepCNN,1337,0.5059523809523809,0.25595238095238093,0.8287545787545787,0.043040293040293054,2.5971477031707764
6s,300,filtered,DeepCNN,365,0.5,0.0,0.3333333333333333,0.0,0.5136780738830566
8s,400,filtered,DeepCNN,251,0.5,0.0,0.0,0.0,0.3137938976287842
8s,400,raw,SimpleCNN,251,0.5,0.0,0.0,0.0,0.313901424407959
6s,300,augmented,SimpleCNN,365,0.5,0.0,0.8333333333333333,0.0,0.36676812171936035
8s,400,augmented,DeepCNN,251,0.5,0.0,0.0,0.0,0.3782973289489746
1s,50,augmented,LSTM,2823,0.4928571428571429,0.29285714285714287,0.5347222222222222,0.2597222222222222,5.862236499786377
4s,200,augmented,SimpleCNN,615,0.4857142857142857,0.08571428571428569,0.0,0.0,1.0156421661376953
2s,100,raw,SimpleCNN,1337,0.46825396825396826,0.24603174603174605,0.40476190476190477,0.2619047619047619,2.0744388103485107
1s,50,raw,LSTM,2823,0.4666666666666667,0.26666666666666666,0.5234953703703704,0.16724537037037043,5.805709600448608
2s,100,augmented,DeepCNN,1337,0.46405228758169936,0.24183006535947715,0.4725274725274725,0.24175824175824176,2.833200454711914
4s,200,filtered,LSTM,615,0.45454545454545453,0.45454545454545453,0.6666666666666666,0.33333333333333337,1.5055303573608398
2s,100,augmented,SimpleCNN,1337,0.4529411764705883,0.2529411764705882,0.07142857142857142,0.07142857142857142,2.0353965759277344
1s,50,normalized,DeepCNN,2823,0.45,0.04999999999999999,0.5949074074074074,0.11990740740740741,5.260225772857666
1s,50,raw,SimpleCNN,2823,0.43333333333333335,0.2333333333333333,0.5366898148148147,0.20706018518518515,5.919707775115967
2s,100,filtered,SimpleCNN,1337,0.4292929292929293,0.20707070707070707,0.5262515262515263,0.0976800976800977,2.014561891555786
4s,200,normalized,DeepCNN,615,0.42857142857142855,0.42857142857142855,0.14583333333333334,0.14583333333333334,1.2479679584503174
2s,100,filtered,LSTM,1337,0.4166666666666667,0.4166666666666667,0.6793345543345543,0.28647741147741146,2.8793015480041504
4s,200,normalized,LSTM,615,0.4,0.4,0.8333333333333333,0.16666666666666669,1.3516030311584473
1s,50,augmented,SimpleCNN,2823,0.3909090909090909,0.20909090909090908,0.37766203703703705,0.19641203703703705,4.144300699234009
1s,50,filtered,SimpleCNN,2823,0.3816425120772947,0.2705314009661836,0.5429398148148148,0.23668981481481483,4.369027853012085
4s,200,raw,LSTM,615,0.375,0.375,0.14583333333333331,0.14583333333333331,1.4003806114196777
2s,100,raw,LSTM,1337,0.375,0.375,0.5247252747252746,0.1675824175824176,2.840578079223633
4s,200,raw,SimpleCNN,615,0.3666666666666667,0.033333333333333354,0.0,0.0,1.0600333213806152
6s,300,filtered,SimpleCNN,365,0.3333333333333333,0.0,0.0,0.0,0.41924357414245605
1s,50,normalized,SimpleCNN,2823,0.331780055917987,0.26281453867660765,0.4715277777777778,0.1340277777777778,4.260851144790649
4s,200,filtered,DeepCNN,615,0.3,0.3,0.2916666666666667,0.2916666666666667,1.3984026908874512
1s,50,augmented,DeepCNN,2823,0.27647058823529413,0.07647058823529412,0.6680555555555556,0.05694444444444441,5.43381404876709
4s,200,augmented,LSTM,615,0.25,0.25,0.14583333333333334,0.14583333333333334,1.3576581478118896
1s,50,normalized,LSTM,2823,0.2365967365967366,0.0058275058275058245,0.4478009259259259,0.25405092592592593,5.749619960784912
2s,100,normalized,SimpleCNN,1337,0.23076923076923078,0.23076923076923078,0.44398656898656896,0.26541514041514047,2.032240629196167
4s,200,normalized,SimpleCNN,615,0.2,0.2,0.4583333333333333,0.4583333333333333,1.0666699409484863
2s,100,normalized,LSTM,1337,0.1875,0.1875,0.6071428571428571,0.39285714285714285,2.753436803817749
4s,200,raw,DeepCNN,615,0.14285714285714285,0.14285714285714285,0.625,0.2916666666666667,1.3403844833374023
4s,200,augmented,DeepCNN,615,0.14285714285714285,0.14285714285714285,0.3958333333333333,0.0625,1.6494834423065186
